date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:42:17	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Nov%202025%2010:42:16%20GMT	https://github.com/lvyztr/WebAppH.git	C:/Users/Laptop/Documents/WebAppH/luvuyo/github.com/lvyztr/WebAppH.0.delayed	(from )
12:42:20	228183/228183	---MCZ	200	added ('OK')	text/html	etag:W/%2268cfb43dcff6da31a82173d8ec7c2156%22	https://github.com/lvyztr/WebAppH	C:/Users/Laptop/Documents/WebAppH/luvuyo/github.com/lvyztr/WebAppH.html	(from )
12:42:20	575/575	---M-Z	200	added ('OK')	text/plain	etag:W/%226915a00a-63a%22	https://github.com/robots.txt		(from )
12:42:22	85890/85890	---M-Z	200	added ('OK')	text/css	etag:%220x8DE1D4A3111D5B3%22	https://github.githubassets.com/assets/light-8e973f836952.css	C:/Users/Laptop/Documents/WebAppH/luvuyo/github.githubassets.com/assets/light-8e973f836952.css	(from https://github.com/lvyztr/WebAppH)
12:42:23	86406/86406	---M-Z	200	added ('OK')	text/css	etag:%220x8DE1D4A311491BF%22	https://github.githubassets.com/assets/light_high_contrast-34b642d57214.css	C:/Users/Laptop/Documents/WebAppH/luvuyo/github.githubassets.com/assets/light_high_contrast-34b642d57214.css	(from https://github.com/lvyztr/WebAppH)
12:42:24	85704/85704	---M-Z	200	added ('OK')	text/css	etag:%220x8DE1D4A30AC811F%22	https://github.githubassets.com/assets/dark-4bce7af39e21.css	C:/Users/Laptop/Documents/WebAppH/luvuyo/github.githubassets.com/assets/dark-4bce7af39e21.css	(from https://github.com/lvyztr/WebAppH)
12:42:24	86268/86268	---M-Z	200	added ('OK')	text/css	etag:%220x8DE1D4A30ABE58E%22	https://github.githubassets.com/assets/dark_high_contrast-ad512d3e2f3b.css	C:/Users/Laptop/Documents/WebAppH/luvuyo/github.githubassets.com/assets/dark_high_contrast-ad512d3e2f3b.css	(from https://github.com/lvyztr/WebAppH)
12:42:24	85546/85546	---M-Z	200	added ('OK')	text/css	etag:%220x8DE1D4A3113A863%22	https://github.githubassets.com/assets/light_colorblind-54be93e666a7.css	C:/Users/Laptop/Documents/WebAppH/luvuyo/github.githubassets.com/assets/light_colorblind-54be93e666a7.css	(from https://github.com/lvyztr/WebAppH)
12:42:25	86220/86220	---M-Z	200	added ('OK')	text/css	etag:%220x8DE1D4A31130CDD%22	https://github.githubassets.com/assets/light_colorblind_high_contrast-8ae7edf5489c.css	C:/Users/Laptop/Documents/WebAppH/luvuyo/github.githubassets.com/assets/light_colorblind_high_contrast-8ae7edf5489c.css	(from https://github.com/lvyztr/WebAppH)
12:42:25	85562/85562	---M-Z	200	added ('OK')	text/css	etag:%220x8DE1D4A31146AD6%22	https://github.githubassets.com/assets/light_tritanopia-84d50df427c0.css	C:/Users/Laptop/Documents/WebAppH/luvuyo/github.githubassets.com/assets/light_tritanopia-84d50df427c0.css	(from https://github.com/lvyztr/WebAppH)
12:42:26	86212/86212	---M-Z	200	added ('OK')	text/css	etag:%220x8DE1D4A31116106%22	https://github.githubassets.com/assets/light_tritanopia_high_contrast-a80873375146.css	C:/Users/Laptop/Documents/WebAppH/luvuyo/github.githubassets.com/assets/light_tritanopia_high_contrast-a80873375146.css	(from https://github.com/lvyztr/WebAppH)
12:42:26	85264/85264	---M-Z	200	added ('OK')	text/css	etag:%220x8DE1D4A30ADB840%22	https://github.githubassets.com/assets/dark_colorblind-d152d6cd6879.css	C:/Users/Laptop/Documents/WebAppH/luvuyo/github.githubassets.com/assets/dark_colorblind-d152d6cd6879.css	(from https://github.com/lvyztr/WebAppH)
12:42:26	86030/86030	---M-Z	200	added ('OK')	text/css	etag:%220x8DE1D4A30ABE58E%22	https://github.githubassets.com/assets/dark_colorblind_high_contrast-fa4060c1a9da.css	C:/Users/Laptop/Documents/WebAppH/luvuyo/github.githubassets.com/assets/dark_colorblind_high_contrast-fa4060c1a9da.css	(from https://github.com/lvyztr/WebAppH)
12:42:27	85220/85220	---M-Z	200	added ('OK')	text/css	etag:%220x8DE1D4A30AD1CB5%22	https://github.githubassets.com/assets/dark_tritanopia-d7bad0fb00bb.css	C:/Users/Laptop/Documents/WebAppH/luvuyo/github.githubassets.com/assets/dark_tritanopia-d7bad0fb00bb.css	(from https://github.com/lvyztr/WebAppH)
12:42:27	86062/86062	---M-Z	200	added ('OK')	text/css	etag:%220x8DE1D4A30ACF5C6%22	https://github.githubassets.com/assets/dark_tritanopia_high_contrast-4a0107c0f60c.css	C:/Users/Laptop/Documents/WebAppH/luvuyo/github.githubassets.com/assets/dark_tritanopia_high_contrast-4a0107c0f60c.css	(from https://github.com/lvyztr/WebAppH)
12:42:27	85366/85366	---M-Z	200	added ('OK')	text/css	etag:%220x8DE1D4A30AC5A3B%22	https://github.githubassets.com/assets/dark_dimmed-045e6b6ac094.css	C:/Users/Laptop/Documents/WebAppH/luvuyo/github.githubassets.com/assets/dark_dimmed-045e6b6ac094.css	(from https://github.com/lvyztr/WebAppH)
